-NEvXnduq-qt9VojU5kx,21/10/2022 22:46:19 261  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvXrSRaP-KSjgJ6LOr,21/10/2022 22:46:31 267  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvXvRaOKaQHAkoTsS2,21/10/2022 22:46:49 257  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvXz9ye5bUB-w5qNrj,21/10/2022 22:47:7 260  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.9
-NEvY1yPSfPjgqOHqJXH,21/10/2022 22:47:20 271  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.
-NEvY5xeznm5NXAATrK5,21/10/2022 22:47:38 249  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvYA2ExoTY0tH_hHUF,21/10/2022 22:47:50 276  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvYDULhQawhYRj20tP,21/10/2022 22:48:8 276  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEvYHBJTcCyofgDJ55T,21/10/2022 22:48:20 281  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.
-NEvYLAYMSSDvwwMftM9,21/10/2022 22:48:39 266  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.
-NEvYOuBf1-4v42H87BC,21/10/2022 22:48:57 257  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.
-NEvYShIoLofmncpGZN2,21/10/2022 22:49:9 280  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEvYWgU-s8i5s_p31JR,21/10/2022 22:49:27 265  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.
-NEvY_V4EzxdY5Nrgs19,21/10/2022 22:49:39 269  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.
-NEvYdUCZAm5zCe0-frf,21/10/2022 22:49:58 286  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.
-NEvYhCUj8FrQyrOvL1D,21/10/2022 22:50:16 261  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvYl03m2ojJj6F79sB,21/10/2022 22:50:28 259  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.
-NEvYp-Dn9xrJXT__fhG,21/10/2022 22:50:46 265  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvYt4ZC7m4Dmx5-CKW,21/10/2022 22:50:59 267  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvYwXCyqXsChQ7Nm-0,21/10/2022 22:51:17 272  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZ-E-0j7nYRQKOwxs,21/10/2022 22:51:29 279  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZ3DDTTDS5PZqirAp,21/10/2022 22:51:47 276  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZ6wUyfwKMYmXB7q0,21/10/2022 22:52:5 275  NAN  NAN -147.93 132120.53 -1533.04 91.60 33.1
-NEvZAjyaZv-FEGLoVOF,21/10/2022 22:52:18 268  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.
-NEvZEjCYLIY8McIcpnD,21/10/2022 22:52:36 284  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZIXghjKK7cAB6S-B,21/10/2022 22:52:48 288  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZMWx7gdCi2bbT-Kq,21/10/2022 22:53:6 271  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.9
-NEvZQFBX1zicar7DjGK,21/10/2022 22:53:25 267  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZU2gwNM0W34OSU_V,21/10/2022 22:53:37 284  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZY1uy_HbW_N4WjEa,21/10/2022 22:53:55 273  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.
-NEvZb7f__4igB2MpoM_,21/10/2022 22:54:7 262  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.9
-NEvZeZi5_bEUN4KjN-j,21/10/2022 22:54:25 287  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZiInqEcpRWUsC7K0,21/10/2022 22:54:38 258  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZmFuTCTxtyRR29NT,21/10/2022 22:54:56 286  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZpzAmsyuVQG0w-cN,21/10/2022 22:55:14 277  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZtmlik229gt_H1Uz,21/10/2022 22:55:26 266  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEvZxlujrZbCFZ9_ZsZ,21/10/2022 22:55:44 281  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_0_RbmatH9fxIyd7,21/10/2022 22:55:57 265  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_4Zboh4E3hO3NuDd,21/10/2022 22:56:15 273  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_8HqRso-hiJJqOBV,21/10/2022 22:56:33 279  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_C5OABJLne9v-Ci8,21/10/2022 22:56:45 264  NAN  NAN -147.93 132120.53 -1533.04 91.60 33.
-NEv_G4_o_xjLNCLrdE4,21/10/2022 22:57:4 269  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEv_K9tEuXo4QMMfHP4,21/10/2022 22:57:16 285  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_NbPCixmyYtT4-51,21/10/2022 22:57:34 264  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_VIdcpTYh6SKQVnj,21/10/2022 22:58:4 284  NAN  NAN -147.93 132120.53 -1533.04 91.60 33.1
-NEv_Z0rwYs1LFOi9bSM,21/10/2022 22:58:23 286  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_bpPRrHau3ie1cnl,21/10/2022 22:58:35 263  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_foY4_8GbIw2tq8a,21/10/2022 22:58:53 286  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_jc4NIW-RoxuqYy3,21/10/2022 22:59:5 282  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEv_nbJsilyv_4Z0IPe,21/10/2022 22:59:23 282  NAN  NAN -147.93 132120.53 -1533.04 91.60 33.
-NEv_rK_6w-hsaBpSbNP,21/10/2022 22:59:42 277  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_v832xthTnIyv3ZF,21/10/2022 22:59:54 278  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.
-NEv_z7H15-Xq5PVn4-X,21/10/2022 23:0:12 278  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEva2DIJTGu44XbFAhX,21/10/2022 23:0:24 266  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEva5e7GbX2VY0GiM7e,21/10/2022 23:0:43 272  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEva9M7BF4eWYGcPcxi,21/10/2022 23:0:55 266  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEvaDLJzmDoapckgsVl,21/10/2022 23:1:13 271  NAN  NAN -147.93 132120.53 -1533.04 91.60 33.1
-NEvaH3Z9mozuL_bKrIB,21/10/2022 23:1:31 285  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEvaKs8jApXwLow-Loc,21/10/2022 23:1:43 263  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEvaOrJD-eYCOYGBCZj,21/10/2022 23:2:2 262  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEvaSetzB_xORhw6QXt,21/10/2022 23:2:14 284  NAN  NAN -147.93 132120.53 -1533.04 91.29 32.9
-NEvaWe1Vx-g2KyiRqFp,21/10/2022 23:2:32 281  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEva_NI8zzeUwE-uANX,21/10/2022 23:2:50 263  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEvadAqGtBlcSK8nziJ,21/10/2022 23:3:3 272  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
-NEvahAgki6XEPDEDgy-,21/10/2022 23:3:21 281  NAN  NAN -147.93 132120.53 -1533.04 91.44 33.0
